Link,TIME,Speed
717750,06:05:00,58.82240143354837
717750,06:10:00,50.75697644677418
717750,06:15:00,45.65232974967742
717750,06:20:00,40.65079365064517
717750,06:25:00,35.55990783419355
717750,06:30:00,38.23521505387097
717750,06:35:00,32.852534562580644
717750,06:40:00,33.01216077870968
717750,06:45:00,33.97132616483871
717750,06:50:00,32.60669482838709
717750,06:55:00,30.45161290354839
717750,07:00:00,32.52604966709678
717750,07:05:00,32.242383512580645
717750,07:10:00,32.97267025096774
717750,07:15:00,33.097798259354846
717750,07:20:00,33.365410053
717750,07:25:00,33.938690476333335
717750,07:30:00,34.19735449733333
717750,07:35:00,33.02228835966667
717750,07:40:00,35.30595238066667
717750,07:45:00,34.495436508
717750,07:50:00,34.739153439
717750,07:55:00,33.57420634933333
717750,08:00:00,34.94828042333334
717750,08:05:00,34.310185185
717750,08:10:00,33.701292882580645
717750,08:15:00,34.56771633387097
717750,08:20:00,34.703789042258066
717750,08:25:00,33.10931899645161
717750,08:30:00,32.79960317480645
717750,08:35:00,32.37103174641935
717750,08:40:00,33.95039682548387
717750,08:45:00,34.61443932387097
717750,08:50:00,34.12167178677419
717750,08:55:00,35.115399385258065
717750,09:00:00,36.24071940580645
717750,09:05:00,36.58582949290323
717750,09:10:00,39.386520737
717750,09:15:00,39.89426523290323
717750,09:20:00,40.43101851866666
717750,09:25:00,39.68690476133334
717750,09:30:00,41.18207671966666
717750,09:35:00,43.05788177344827
717750,09:40:00,43.77524630551724
717750,09:45:00,45.66135204035715
717750,09:50:00,50.23972505678572
717750,09:55:00,50.50942460321429
717750,10:00:00,51.20202664392856
717750,10:05:00,53.15123456777778
717750,10:10:00,54.43709582592592
717750,10:15:00,56.4537037037037
717750,10:20:00,56.58862433888889
717750,10:25:00,58.53902116444445
717750,10:30:00,59.280643739259254
717750,10:35:00,57.744756235714284
717750,10:40:00,58.82525510214286
717750,10:45:00,59.845663265357146
717750,10:50:00,60.31590136035714
717750,10:55:00,59.171697845714284
717750,11:00:00,61.00191798933334
717750,11:05:00,62.55992063516128
717750,11:10:00,62.42677931322581
717750,11:15:00,63.41743471548387
717750,11:20:00,65.06528417741934
717750,11:25:00,62.79723502290322
717750,11:30:00,61.986687148387084
